19:37:06,U1,Queen's Avenue,29,2020-02-16 20:06:06.690758
19:37:06,4,"Broadmead, Union St",30,2020-02-16 20:07:06.690794
19:37:06,2,"Stockwood, The Coot",33,2020-02-16 20:10:06.690828
19:37:06,1,"Broomhill, Whitmore",45,2020-02-16 20:22:06.690862
19:37:06,U1,Queen's Avenue,59,2020-02-16 20:36:06.693345
19:37:06,2,"Stockwood, The Coot",63,2020-02-16 20:40:06.693378

19:37:32,U1,Queen's Avenue,4,2020-02-16 19:41:32.013843
19:37:32,3,"Broadmead, Union St",5,2020-02-16 19:42:32.013928
19:37:32,2,"Stockwood, The Coot",6,2020-02-16 19:43:32.013977
19:37:32,1,"Broomhill, Whitmore",15,2020-02-16 19:52:32.014158
19:37:32,U1,Queen's Avenue,29,2020-02-16 20:06:32.019626
19:37:32,4,"Broadmead, Union St",30,2020-02-16 20:07:32.019669
19:37:32,2,"Stockwood, The Coot",35,2020-02-16 20:12:32.019709
19:37:32,1,"Broomhill, Whitmore",45,2020-02-16 20:22:32.019748
19:37:32,U1,Queen's Avenue,59,2020-02-16 20:36:32.022939
19:37:32,2,"Stockwood, The Coot",63,2020-02-16 20:40:32.022976

19:38:18,U1,Queen's Avenue,3,2020-02-16 19:41:18.774946
19:38:18,3,"Broadmead, Union St",4,2020-02-16 19:42:18.775019
19:38:18,2,"Stockwood, The Coot",5,2020-02-16 19:43:18.775072
19:38:18,1,"Broomhill, Whitmore",15,2020-02-16 19:53:18.775121
19:38:18,U1,Queen's Avenue,28,2020-02-16 20:06:18.777212
19:38:18,4,"Broadmead, Union St",29,2020-02-16 20:07:18.777264
19:38:18,2,"Stockwood, The Coot",34,2020-02-16 20:12:18.777313
19:38:18,1,"Broomhill, Whitmore",44,2020-02-16 20:22:18.777361
19:38:18,U1,Queen's Avenue,58,2020-02-16 20:36:18.779206
19:38:18,2,"Stockwood, The Coot",62,2020-02-16 20:40:18.779248

19:38:27,3,"Broadmead, Union St",4,2020-02-16 19:42:27.520909
19:38:27,U1,Queen's Avenue,4,2020-02-16 19:42:27.520989
19:38:27,2,"Stockwood, The Coot",5,2020-02-16 19:43:27.521044
19:38:27,1,"Broomhill, Whitmore",15,2020-02-16 19:53:27.521096
19:38:27,U1,Queen's Avenue,28,2020-02-16 20:06:27.523217
19:38:27,4,"Broadmead, Union St",29,2020-02-16 20:07:27.523272
19:38:27,2,"Stockwood, The Coot",34,2020-02-16 20:12:27.523322
19:38:27,1,"Broomhill, Whitmore",44,2020-02-16 20:22:27.523372
19:38:27,U1,Queen's Avenue,58,2020-02-16 20:36:27.525084
19:38:27,2,"Stockwood, The Coot",62,2020-02-16 20:40:27.525128

19:38:44,3,"Broadmead, Union St",4,2020-02-16 19:42:44.373725
19:38:44,U1,Queen's Avenue,4,2020-02-16 19:42:44.373794
19:38:44,2,"Stockwood, The Coot",5,2020-02-16 19:43:44.373836
19:38:44,1,"Broomhill, Whitmore",15,2020-02-16 19:53:44.373874
19:38:44,U1,Queen's Avenue,28,2020-02-16 20:06:44.378366
19:38:44,4,"Broadmead, Union St",30,2020-02-16 20:08:44.378402
19:38:44,2,"Stockwood, The Coot",34,2020-02-16 20:12:44.378435
19:38:44,1,"Broomhill, Whitmore",44,2020-02-16 20:22:44.378467
19:38:44,U1,Queen's Avenue,58,2020-02-16 20:36:44.380862
19:38:44,2,"Stockwood, The Coot",62,2020-02-16 20:40:44.380898

19:38:44,3,"Broadmead, Union St",4,2020-02-16 19:42:44.780034
19:38:44,U1,Queen's Avenue,4,2020-02-16 19:42:44.780111
19:38:44,2,"Stockwood, The Coot",5,2020-02-16 19:43:44.780167
19:38:44,1,"Broomhill, Whitmore",15,2020-02-16 19:53:44.780220
19:38:44,U1,Queen's Avenue,28,2020-02-16 20:06:44.782524
19:38:44,4,"Broadmead, Union St",30,2020-02-16 20:08:44.782596
19:38:44,2,"Stockwood, The Coot",34,2020-02-16 20:12:44.782691
19:38:44,1,"Broomhill, Whitmore",44,2020-02-16 20:22:44.782754
19:38:44,U1,Queen's Avenue,58,2020-02-16 20:36:44.784636
19:38:44,2,"Stockwood, The Coot",62,2020-02-16 20:40:44.784681

19:39:07,3,"Broadmead, Union St",2,2020-02-16 19:41:07.268504
19:39:07,U1,Queen's Avenue,2,2020-02-16 19:41:07.268580
19:39:07,2,"Stockwood, The Coot",4,2020-02-16 19:43:07.268636
19:39:07,1,"Broomhill, Whitmore",14,2020-02-16 19:53:07.268688
19:39:07,U1,Queen's Avenue,27,2020-02-16 20:06:07.270816
19:39:07,4,"Broadmead, Union St",29,2020-02-16 20:08:07.270873
19:39:07,2,"Stockwood, The Coot",33,2020-02-16 20:12:07.270924
19:39:07,1,"Broomhill, Whitmore",43,2020-02-16 20:22:07.270974
19:39:07,U1,Queen's Avenue,57,2020-02-16 20:36:07.272854
19:39:07,2,"Stockwood, The Coot",61,2020-02-16 20:40:07.272899

19:39:53,3,"Broadmead, Union St",3,2020-02-16 19:42:53.916000
19:39:53,U1,Queen's Avenue,3,2020-02-16 19:42:53.916087
19:39:53,2,"Stockwood, The Coot",4,2020-02-16 19:43:53.916134
19:39:53,1,"Broomhill, Whitmore",13,2020-02-16 19:52:53.916178
19:39:53,U1,Queen's Avenue,27,2020-02-16 20:06:53.920872
19:39:53,4,"Broadmead, Union St",30,2020-02-16 20:09:53.920915
19:39:53,2,"Stockwood, The Coot",33,2020-02-16 20:12:53.920962
19:39:53,1,"Broomhill, Whitmore",43,2020-02-16 20:22:53.921000
19:39:53,U1,Queen's Avenue,57,2020-02-16 20:36:53.924283
19:39:53,2,"Stockwood, The Coot",61,2020-02-16 20:40:53.924320

19:40:19,U1,Queen's Avenue,1,2020-02-16 19:41:19.911873
19:40:19,3,"Broadmead, Union St",2,2020-02-16 19:42:19.911949
19:40:19,2,"Stockwood, The Coot",3,2020-02-16 19:43:19.912002
19:40:19,1,"Broomhill, Whitmore",13,2020-02-16 19:53:19.912051
19:40:19,U1,Queen's Avenue,26,2020-02-16 20:06:19.914290
19:40:19,4,"Broadmead, Union St",29,2020-02-16 20:09:19.914346
19:40:19,2,"Stockwood, The Coot",31,2020-02-16 20:11:19.914397
19:40:19,1,"Broomhill, Whitmore",42,2020-02-16 20:22:19.914445
19:40:19,U1,Queen's Avenue,56,2020-02-16 20:36:19.916555
19:40:19,2,"Stockwood, The Coot",60,2020-02-16 20:40:19.916601

19:40:28,U1,Queen's Avenue,1,2020-02-16 19:41:28.822010
19:40:28,3,"Broadmead, Union St",2,2020-02-16 19:42:28.822085
19:40:28,2,"Stockwood, The Coot",3,2020-02-16 19:43:28.822140
19:40:28,1,"Broomhill, Whitmore",13,2020-02-16 19:53:28.822193
19:40:28,U1,Queen's Avenue,26,2020-02-16 20:06:28.824284
19:40:28,4,"Broadmead, Union St",28,2020-02-16 20:08:28.824331
19:40:28,2,"Stockwood, The Coot",31,2020-02-16 20:11:28.824374
19:40:28,1,"Broomhill, Whitmore",42,2020-02-16 20:22:28.824416
19:40:28,U1,Queen's Avenue,56,2020-02-16 20:36:28.826110
19:40:28,2,"Stockwood, The Coot",60,2020-02-16 20:40:28.826155

19:40:46,U1,Queen's Avenue,1,2020-02-16 19:41:46.141204
